Left Table,GM_NEWLINE,GM_ATOM,GM_IDENTIFIER,GM_BINOP,GM_UNOP,GM_ASSIGNOP,GM_EXPRESSION,GM_UNBALANCED_LIST,GM_BALANCED_LIST,GM_LPARA,GM_LBRACK,GM_PIPE,GM_FUNCTIONAL,GM_MATRIX,GM_DOT
UNKNOWN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NIL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CONSTANT,2,0,0,2,2,2,0,2,0,2,2,2,2,0,0
LOGIC,2,0,0,2,2,2,0,2,0,2,2,2,2,0,0
INT,2,0,0,2,2,2,0,2,0,2,2,2,2,0,0
DOUBLE,2,0,0,2,2,2,0,2,0,2,2,2,2,0,0
COMPLEX,2,0,0,2,2,2,0,2,0,2,2,2,2,0,0
STRING,2,0,0,2,2,2,0,2,0,2,2,2,2,0,0
MATRIX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TUPLE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
INSTANCE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CSTRING,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CFUN,3,0,0,3,3,3,0,3,0,3,3,3,0,0,0
FUN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CLASS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CSTRUCT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IDENTIFIER,3,0,0,7,7,3,0,3,0,3,3,3,3,0,3
RANGE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARRAY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LINKED_LIST,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CMODULE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GARBAGE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FIELD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
END,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FUN_MAKE,13,0,0,0,0,13,0,13,0,13,0,0,0,0,0
CLASS_MAKE,13,0,0,0,0,13,0,13,0,13,0,0,0,0,0
ELIF,13,0,0,0,0,0,13,0,0,0,0,0,0,0,0
ELSE,13,0,0,0,0,0,13,0,0,0,0,0,0,0,0
WHILE,13,0,0,0,0,0,13,0,0,0,0,0,0,0,0
FOR,13,0,0,0,0,0,13,0,0,0,0,0,0,0,0
BREAK,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CONT,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IF,13,0,0,0,0,0,13,0,0,0,0,0,0,0,0
RETURN,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NEWLINE,1,7,7,0,0,0,7,0,7,0,0,0,0,7,0
LPARA,10,0,10,10,10,10,0,10,0,10,10,10,10,10,0
RPARA,0,7,7,0,0,0,7,0,7,2,0,0,0,7,0
LBRACK,11,0,11,11,11,11,11,11,0,11,11,11,0,0,0
RBRACK,0,14,14,0,0,0,14,0,14,0,2,0,0,0,0
LBRACE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RBRACE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
COMMA,0,8,8,0,0,0,8,0,0,0,0,0,0,8,0
DOT,-15,0,15,-15,0,-15,15,-15,0,-15,-15,0,-15,0,0
SEMICOLON,1,1,1,0,0,0,1,0,1,0,0,0,0,1,0
COLON,0,4,4,0,0,0,4,0,0,0,0,0,0,4,0
RSHIFT,0,4,4,0,0,0,4,0,0,0,0,0,0,4,0
LSHIFT,0,4,4,0,0,0,4,0,0,0,0,0,0,4,0
STARSTAR,0,4,4,0,0,0,4,0,0,0,0,0,0,4,0
